Model,Average Train Loss,Average Train Accuracy,Average Validation Loss,Average Validation Accuracy
resnet18_MNIST_Evidence_1,0.0019,95.85,0.0611,97.34
resnet18_MNIST_1,0.0025,95.94,0.0412,98.44
resnet18_MNIST_Evidence_2,0.0022,95.92,0.0436,98.43
resnet18_MNIST_2,0.0021,95.7,0.0624,97.08
resnet18_MNIST_Evidence_3,0.0022,95.94,0.0431,98.34
resnet18_MNIST_3,0.0024,95.79,0.075,96.35
resnet18-MNIST-random-0,0.0030666666666666668,95.51333333333334,0.0981,97.02666666666666
resnet18-MNIST-random-0.3,0.009766666666666667,94.75666666666666,0.1062,96.66333333333334
resnet18-MNIST-random-0.5,0.0177,93.94,0.15893333333333334,95.17333333333333
resnet18-MNIST-random-0.7,0.0403,92.34666666666668,0.23693333333333333,92.72333333333334
resnet18-MNIST-random-0.8,0.07803333333333333,91.12,0.18536666666666668,94.25666666666666
resnet18-MNIST-random-0.9,0.3409333333333333,87.78666666666668,0.7212999999999999,82.36666666666667
resnet18-MNIST-random-0.95,0.4592333333333333,81.9,0.5494,83.40666666666668
resnet18-EvidenceLoss-MNIST-random-0,0.002333333333333333,95.77,0.059166666666666666,97.28333333333335
resnet18-EvidenceLoss-MNIST-random-0.3,0.0054333333333333326,95.22333333333334,0.06446666666666666,96.96999999999998
resnet18-EvidenceLoss-MNIST-random-0.5,0.0113,94.41000000000001,0.06016666666666667,97.41000000000001
resnet18-EvidenceLoss-MNIST-random-0.7,0.0258,93.26333333333334,0.0921,95.58333333333333
resnet18-EvidenceLoss-MNIST-random-0.8,0.0514,92.21,0.11756666666666667,94.01666666666667
resnet18-EvidenceLoss-MNIST-random-0.9,0.25056666666666666,88.43333333333334,0.12553333333333333,94.44666666666666
resnet18-EvidenceLoss-MNIST-random-0.95,0.3264666666666667,85.26333333333334,0.2394333333333333,87.43333333333334
resnet18-MNIST-predictive_entropy-balanced_by_score-0,0.0032999999999999995,95.58333333333333,0.0816,97.41333333333334
resnet18-MNIST-predictive_entropy-balanced_by_score-0.3,0.008166666666666668,94.75666666666666,0.0791,97.58
resnet18-MNIST-predictive_entropy-balanced_by_score-0.5,0.014533333333333334,94.04333333333334,0.08536666666666666,97.39
resnet18-MNIST-predictive_entropy-balanced_by_score-0.7,0.03886666666666667,92.44,0.20176666666666665,93.69666666666667
resnet18-MNIST-predictive_entropy-balanced_by_score-0.8,0.0863,90.95,0.17913333333333334,94.38
resnet18-MNIST-predictive_entropy-balanced_by_score-0.9,0.34803333333333336,87.2,0.22543333333333335,93.29333333333334
resnet18-MNIST-predictive_entropy-balanced_by_score-0.95,0.46893333333333337,81.91333333333334,0.4113,87.71333333333332
resnet18-EvidenceLoss-MNIST-predictive_entropy-balanced_by_score-0,0.0023666666666666667,95.81,0.0588,97.31333333333333
resnet18-EvidenceLoss-MNIST-predictive_entropy-balanced_by_score-0.3,0.005633333333333333,95.23666666666666,0.05186666666666667,97.83333333333333
resnet18-EvidenceLoss-MNIST-predictive_entropy-balanced_by_score-0.5,0.011099999999999999,94.39666666666666,0.0815,95.94
resnet18-EvidenceLoss-MNIST-predictive_entropy-balanced_by_score-0.7,0.025833333333333333,93.24,0.08343333333333335,96.17333333333333
