MODEL:resnet18_MNIST_Evidence , Train Loss: 0.0024, Train Accuracy: 95.87, Validation Loss: 0.0451, Validation Accuracy: 98.19%
MODEL:resnet18_MNIST , Train Loss: 0.0025, Train Accuracy: 95.71, Validation Loss: 0.0508, Validation Accuracy: 97.78%

MODEL:resnet18-MNIST-random-0 , Train Loss: 0.0030, Train Accuracy: 95.46, Validation Loss: 0.0671, Validation Accuracy: 97.86%
MODEL:resnet18-MNIST-random-0.3 , Train Loss: 0.0077, Train Accuracy: 94.75, Validation Loss: 0.0956, Validation Accuracy: 97.02%
MODEL:resnet18-MNIST-random-0.5 , Train Loss: 0.0169, Train Accuracy: 93.98, Validation Loss: 0.2049, Validation Accuracy: 93.07%
MODEL:resnet18-MNIST-random-0.7 , Train Loss: 0.0406, Train Accuracy: 92.43, Validation Loss: 0.1239, Validation Accuracy: 96.02%
MODEL:resnet18-MNIST-random-0.8 , Train Loss: 0.0808, Train Accuracy: 91.05, Validation Loss: 0.1875, Validation Accuracy: 93.93%
MODEL:resnet18-MNIST-random-0.9 , Train Loss: 0.3527, Train Accuracy: 87.18, Validation Loss: 0.3365, Validation Accuracy: 88.78%
MODEL:resnet18-MNIST-random-0.95 , Train Loss: 0.4007, Train Accuracy: 83.50, Validation Loss: 0.2249, Validation Accuracy: 93.30%

MODEL:resnet18_MNIST_Evidence , Train Loss: 0.0024, Train Accuracy: 95.85, Validation Loss: 0.0577, Validation Accuracy: 97.28%
MODEL:resnet18_MNIST , Train Loss: 0.0024, Train Accuracy: 95.85, Validation Loss: 0.0536, Validation Accuracy: 97.66%

MODEL:resnet18-MNIST-random-0 , Train Loss: 0.0029, Train Accuracy: 95.56, Validation Loss: 0.0592, Validation Accuracy: 98.24%
MODEL:resnet18-MNIST-random-0.3 , Train Loss: 0.0080, Train Accuracy: 94.77, Validation Loss: 0.0604, Validation Accuracy: 97.99%
MODEL:resnet18-MNIST-random-0.5 , Train Loss: 0.0144, Train Accuracy: 94.09, Validation Loss: 0.0849, Validation Accuracy: 97.17%
MODEL:resnet18-MNIST-random-0.7 , Train Loss: 0.0398, Train Accuracy: 92.45, Validation Loss: 0.1436, Validation Accuracy: 95.42%
MODEL:resnet18-MNIST-random-0.8 , Train Loss: 0.0913, Train Accuracy: 90.60, Validation Loss: 0.1344, Validation Accuracy: 95.77%
