MODEL:resnet18_CIFAR10_1 , Train Loss: 0.0659, Train Accuracy: 78.18, Validation Loss: 0.8589, Validation Accuracy: 70.82%
MODEL:resnet18_CIFAR10_E1_1 , Train Loss: 0.0810, Train Accuracy: 91.63, Validation Loss: 0.8504, Validation Accuracy: 74.36%
MODEL:resnet18-EvidenceLoss-CIFAR10-random-0.3-1 , Train Loss: 0.0668, Train Accuracy: 91.76, Validation Loss: 0.8700, Validation Accuracy: 70.46%
MODEL:resnet18-EvidenceLoss-CIFAR10-random-0.5-1 , Train Loss: 0.1786, Train Accuracy: 92.20, Validation Loss: 0.8740, Validation Accuracy: 69.77%
MODEL:resnet18-EvidenceLoss-CIFAR10-random-0.7-1 , Train Loss: 0.1147, Train Accuracy: 92.26, Validation Loss: 0.8955, Validation Accuracy: 64.50%
MODEL:resnet18-EvidenceLoss-CIFAR10-random-0.8-1 , Train Loss: 0.2798, Train Accuracy: 92.08, Validation Loss: 0.9313, Validation Accuracy: 57.30%
MODEL:resnet18-EvidenceLoss-CIFAR10-random-0.9-1 , Train Loss: 0.7595, Train Accuracy: 93.62, Validation Loss: 0.9651, Validation Accuracy: 50.31%
MODEL:resnet18-EvidenceLoss-CIFAR10-random-0.95-1 , Train Loss: 0.7887, Train Accuracy: 88.92, Validation Loss: 0.9811, Validation Accuracy: 43.98%
MODEL:resnet18-EvidenceLoss-CIFAR10-EVIDENCE-balanced_by_score-0.3-1 , Train Loss: 0.0662, Train Accuracy: 91.84, Validation Loss: 0.8624, Validation Accuracy: 72.09%
MODEL:resnet18-EvidenceLoss-CIFAR10-EVIDENCE-balanced_by_score-0.5-1 , Train Loss: 0.1790, Train Accuracy: 91.91, Validation Loss: 0.8815, Validation Accuracy: 68.27%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.3-1 , Train Loss: 0.0064, Train Accuracy: 95.24, Validation Loss: 0.0863, Validation Accuracy: 95.67%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.5-1 , Train Loss: 0.0117, Train Accuracy: 94.50, Validation Loss: 0.0591, Validation Accuracy: 97.81%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.7-1 , Train Loss: 0.0276, Train Accuracy: 92.82, Validation Loss: 0.0882, Validation Accuracy: 96.43%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.8-1 , Train Loss: 0.0607, Train Accuracy: 91.37, Validation Loss: 0.0946, Validation Accuracy: 96.45%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.9-1 , Train Loss: 0.2801, Train Accuracy: 88.78, Validation Loss: 0.1621, Validation Accuracy: 93.56%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.95-1 , Train Loss: 0.3864, Train Accuracy: 84.40, Validation Loss: 0.1999, Validation Accuracy: 93.88%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.3-1 , Train Loss: 0.0062, Train Accuracy: 95.17, Validation Loss: 0.0600, Validation Accuracy: 97.41%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.5-1 , Train Loss: 0.0111, Train Accuracy: 94.34, Validation Loss: 0.0686, Validation Accuracy: 97.07%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.7-1 , Train Loss: 0.0287, Train Accuracy: 92.73, Validation Loss: 0.0960, Validation Accuracy: 95.96%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.8-1 , Train Loss: 0.0605, Train Accuracy: 91.87, Validation Loss: 0.0997, Validation Accuracy: 96.14%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.9-1 , Train Loss: 0.2849, Train Accuracy: 88.03, Validation Loss: 0.2316, Validation Accuracy: 87.79%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.95-1 , Train Loss: 0.4007, Train Accuracy: 82.03, Validation Loss: 0.2637, Validation Accuracy: 87.63%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.3-1 , Train Loss: 0.0066, Train Accuracy: 95.45, Validation Loss: 0.0695, Validation Accuracy: 96.85%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.5-1 , Train Loss: 0.0117, Train Accuracy: 94.36, Validation Loss: 0.0679, Validation Accuracy: 97.16%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.7-1 , Train Loss: 0.0294, Train Accuracy: 93.26, Validation Loss: 0.0841, Validation Accuracy: 96.43%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.8-1 , Train Loss: 0.0610, Train Accuracy: 91.50, Validation Loss: 0.1212, Validation Accuracy: 94.98%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.9-1 , Train Loss: 0.2959, Train Accuracy: 86.93, Validation Loss: 0.2236, Validation Accuracy: 88.18%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.95-1 , Train Loss: 0.3936, Train Accuracy: 83.30, Validation Loss: 0.2582, Validation Accuracy: 87.86%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.3-2 , Train Loss: 0.0051, Train Accuracy: 95.18, Validation Loss: 0.0717, Validation Accuracy: 96.72%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.5-2 , Train Loss: 0.0119, Train Accuracy: 94.17, Validation Loss: 0.0611, Validation Accuracy: 97.59%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.7-2 , Train Loss: 0.0277, Train Accuracy: 93.38, Validation Loss: 0.1004, Validation Accuracy: 95.75%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.8-2 , Train Loss: 0.0577, Train Accuracy: 91.86, Validation Loss: 0.1048, Validation Accuracy: 95.86%
