MODEL:resnet18_MNIST_E1_1 , Train Loss: 0.0298, Train Accuracy: 98.39, Validation Loss: 0.7332, Validation Accuracy: 98.60%
MODEL:resnet18-EvidenceLoss-MNIST-EVIDENCE-balanced_by_score-0.3-1 , Train Loss: 0.0639, Train Accuracy: 98.10, Validation Loss: 0.7363, Validation Accuracy: 98.22%
MODEL:resnet18-EvidenceLoss-MNIST-EVIDENCE-balanced_by_score-0.5-1 , Train Loss: 0.1084, Train Accuracy: 98.12, Validation Loss: 0.7379, Validation Accuracy: 97.73%
MODEL:resnet18-EvidenceLoss-MNIST-EVIDENCE-balanced_by_score-0.7-1 , Train Loss: 0.2146, Train Accuracy: 97.91, Validation Loss: 0.7411, Validation Accuracy: 97.04%
MODEL:resnet18-EvidenceLoss-MNIST-EVIDENCE-balanced_by_score-0.8-1 , Train Loss: 0.3405, Train Accuracy: 97.97, Validation Loss: 0.7373, Validation Accuracy: 97.89%
MODEL:resnet18-EvidenceLoss-MNIST-EVIDENCE-balanced_by_score-0.9-1 , Train Loss: 0.7400, Train Accuracy: 97.56, Validation Loss: 0.7440, Validation Accuracy: 96.63%
MODEL:resnet18-EvidenceLoss-MNIST-EVIDENCE-balanced_by_score-0.95-1 , Train Loss: 0.7428, Train Accuracy: 97.23, Validation Loss: 0.7783, Validation Accuracy: 89.68%
MODEL:resnet18-EvidenceLoss-MNIST-BELIEF-balanced_by_score-0.3-1 , Train Loss: 0.0639, Train Accuracy: 98.17, Validation Loss: 0.7328, Validation Accuracy: 98.56%
MODEL:resnet18-EvidenceLoss-MNIST-BELIEF-balanced_by_score-0.5-1 , Train Loss: 0.1084, Train Accuracy: 98.04, Validation Loss: 0.7374, Validation Accuracy: 97.89%
MODEL:resnet18-EvidenceLoss-MNIST-BELIEF-balanced_by_score-0.7-1 , Train Loss: 0.2149, Train Accuracy: 98.03, Validation Loss: 0.7401, Validation Accuracy: 97.42%
MODEL:resnet18-EvidenceLoss-MNIST-BELIEF-balanced_by_score-0.8-1 , Train Loss: 0.3409, Train Accuracy: 98.00, Validation Loss: 0.7428, Validation Accuracy: 97.06%
MODEL:resnet18-EvidenceLoss-MNIST-BELIEF-balanced_by_score-0.9-1 , Train Loss: 0.7420, Train Accuracy: 97.15, Validation Loss: 0.7440, Validation Accuracy: 96.59%
MODEL:resnet18-EvidenceLoss-MNIST-BELIEF-balanced_by_score-0.95-1 , Train Loss: 0.7444, Train Accuracy: 96.80, Validation Loss: 0.7594, Validation Accuracy: 93.64%
MODEL:resnet18_MNIST_E1_2 , Train Loss: 0.0298, Train Accuracy: 98.30, Validation Loss: 0.7375, Validation Accuracy: 97.86%
MODEL:resnet18-EvidenceLoss-MNIST-EVIDENCE-balanced_by_score-0.3-2 , Train Loss: 0.0637, Train Accuracy: 98.24, Validation Loss: 0.7422, Validation Accuracy: 97.09%
MODEL:resnet18-EvidenceLoss-MNIST-EVIDENCE-balanced_by_score-0.5-2 , Train Loss: 0.1084, Train Accuracy: 98.14, Validation Loss: 0.7467, Validation Accuracy: 96.02%
MODEL:resnet18-EvidenceLoss-MNIST-EVIDENCE-balanced_by_score-0.7-2 , Train Loss: 0.2148, Train Accuracy: 97.69, Validation Loss: 0.7396, Validation Accuracy: 97.38%
MODEL:resnet18-EvidenceLoss-MNIST-EVIDENCE-balanced_by_score-0.8-2 , Train Loss: 0.3414, Train Accuracy: 98.07, Validation Loss: 0.7451, Validation Accuracy: 96.50%
