    MODEL:resnet18_MNIST_Evidence_1 , Train Loss: 0.0019, Train Accuracy: 95.85, Validation Loss: 0.0611, Validation Accuracy: 97.34%
    MODEL:resnet18_MNIST_1 , Train Loss: 0.0025, Train Accuracy: 95.94, Validation Loss: 0.0412, Validation Accuracy: 98.44%
    MODEL:resnet18-MNIST-random-0-1 , Train Loss: 0.0025, Train Accuracy: 95.51, Validation Loss: 0.0763, Validation Accuracy: 97.64%
    MODEL:resnet18-MNIST-random-0.3-1 , Train Loss: 0.0097, Train Accuracy: 94.85, Validation Loss: 0.0969, Validation Accuracy: 96.89%
    MODEL:resnet18-MNIST-random-0.5-1 , Train Loss: 0.0161, Train Accuracy: 94.05, Validation Loss: 0.0862, Validation Accuracy: 97.22%
    MODEL:resnet18-MNIST-random-0.7-1 , Train Loss: 0.0398, Train Accuracy: 92.56, Validation Loss: 0.1909, Validation Accuracy: 94.04%
    MODEL:resnet18-MNIST-random-0.8-1 , Train Loss: 0.0791, Train Accuracy: 91.09, Validation Loss: 0.1159, Validation Accuracy: 96.13%
    MODEL:resnet18-MNIST-random-0.9-1 , Train Loss: 0.3389, Train Accuracy: 87.88, Validation Loss: 1.2272, Validation Accuracy: 70.48%
    MODEL:resnet18-MNIST-random-0.95-1 , Train Loss: 0.4661, Train Accuracy: 81.37, Validation Loss: 0.4519, Validation Accuracy: 86.81%
    MODEL:resnet18-EvidenceLoss-MNIST-random-0-1 , Train Loss: 0.0021, Train Accuracy: 95.61, Validation Loss: 0.0458, Validation Accuracy: 98.24%
    MODEL:resnet18-EvidenceLoss-MNIST-random-0.3-1 , Train Loss: 0.0052, Train Accuracy: 95.35, Validation Loss: 0.0600, Validation Accuracy: 97.27%
    MODEL:resnet18-EvidenceLoss-MNIST-random-0.5-1 , Train Loss: 0.0106, Train Accuracy: 94.48, Validation Loss: 0.0654, Validation Accuracy: 97.01%
    MODEL:resnet18-EvidenceLoss-MNIST-random-0.7-1 , Train Loss: 0.0246, Train Accuracy: 93.34, Validation Loss: 0.0745, Validation Accuracy: 96.78%
    MODEL:resnet18-EvidenceLoss-MNIST-random-0.8-1 , Train Loss: 0.0521, Train Accuracy: 92.00, Validation Loss: 0.1262, Validation Accuracy: 93.35%
    MODEL:resnet18-EvidenceLoss-MNIST-random-0.9-1 , Train Loss: 0.2477, Train Accuracy: 89.11, Validation Loss: 0.1204, Validation Accuracy: 94.82%
    MODEL:resnet18-EvidenceLoss-MNIST-random-0.95-1 , Train Loss: 0.3245, Train Accuracy: 85.03, Validation Loss: 0.2648, Validation Accuracy: 85.31%
    MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0-1 , Train Loss: 0.0032, Train Accuracy: 95.76, Validation Loss: 0.0756, Validation Accuracy: 97.57%
