MODEL:resnet18_MNIST_1 , Train Loss: 0.0037, Train Accuracy: 95.80, Validation Loss: 0.1050, Validation Accuracy: 96.84%
MODEL:resnet18-MNIST-random-0.3-1 , Train Loss: 0.0096, Train Accuracy: 94.73, Validation Loss: 0.1034, Validation Accuracy: 96.75%
MODEL:resnet18-MNIST-random-0.5-1 , Train Loss: 0.0160, Train Accuracy: 93.96, Validation Loss: 0.1025, Validation Accuracy: 96.60%
MODEL:resnet18-MNIST-random-0.7-1 , Train Loss: 0.0384, Train Accuracy: 92.67, Validation Loss: 0.1837, Validation Accuracy: 94.25%
MODEL:resnet18-MNIST-random-0.8-1 , Train Loss: 0.0891, Train Accuracy: 90.75, Validation Loss: 0.1523, Validation Accuracy: 94.98%
MODEL:resnet18-MNIST-random-0.9-1 , Train Loss: 0.3440, Train Accuracy: 87.48, Validation Loss: 0.2905, Validation Accuracy: 91.51%
MODEL:resnet18-MNIST-random-0.95-1 , Train Loss: 0.4817, Train Accuracy: 82.00, Validation Loss: 0.9064, Validation Accuracy: 75.64%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.3-1 , Train Loss: 0.0077, Train Accuracy: 94.98, Validation Loss: 0.1732, Validation Accuracy: 95.34%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.5-1 , Train Loss: 0.0182, Train Accuracy: 93.88, Validation Loss: 0.1785, Validation Accuracy: 94.83%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.7-1 , Train Loss: 0.0358, Train Accuracy: 92.60, Validation Loss: 0.1407, Validation Accuracy: 95.49%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.8-1 , Train Loss: 0.0953, Train Accuracy: 90.87, Validation Loss: 0.1161, Validation Accuracy: 96.32%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.9-1 , Train Loss: 0.3509, Train Accuracy: 87.48, Validation Loss: 0.1975, Validation Accuracy: 93.65%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.95-1 , Train Loss: 0.4871, Train Accuracy: 81.32, Validation Loss: 0.7657, Validation Accuracy: 79.49%
MODEL:resnet18-MNIST-predictive_entropy-top-0.3-1 , Train Loss: 0.0102, Train Accuracy: 93.75, Validation Loss: 0.1200, Validation Accuracy: 96.58%
MODEL:resnet18-MNIST-predictive_entropy-top-0.5-1 , Train Loss: 0.0212, Train Accuracy: 91.62, Validation Loss: 0.2899, Validation Accuracy: 90.30%
MODEL:resnet18-MNIST-predictive_entropy-top-0.7-1 , Train Loss: 0.0692, Train Accuracy: 87.06, Validation Loss: 0.4192, Validation Accuracy: 86.62%
MODEL:resnet18-MNIST-predictive_entropy-top-0.8-1 , Train Loss: 0.1686, Train Accuracy: 82.75, Validation Loss: 0.4497, Validation Accuracy: 85.10%
MODEL:resnet18-MNIST-predictive_entropy-top-0.9-1 , Train Loss: 0.7437, Train Accuracy: 74.06, Validation Loss: 0.7504, Validation Accuracy: 74.20%
MODEL:resnet18-MNIST-predictive_entropy-top-0.95-1 , Train Loss: 0.9879, Train Accuracy: 64.57, Validation Loss: 1.3703, Validation Accuracy: 61.69%
MODEL:resnet18-MNIST-predictive_entropy-bottom-0.3-1 , Train Loss: 0.0031, Train Accuracy: 97.86, Validation Loss: 0.1685, Validation Accuracy: 95.04%
MODEL:resnet18-MNIST-predictive_entropy-bottom-0.5-1 , Train Loss: 0.0036, Train Accuracy: 98.38, Validation Loss: 0.8691, Validation Accuracy: 80.47%
MODEL:resnet18-MNIST-predictive_entropy-bottom-0.7-1 , Train Loss: 0.0038, Train Accuracy: 98.63, Validation Loss: 1.9618, Validation Accuracy: 70.73%
MODEL:resnet18-MNIST-predictive_entropy-bottom-0.8-1 , Train Loss: 0.0130, Train Accuracy: 98.22, Validation Loss: 2.4259, Validation Accuracy: 60.31%
MODEL:resnet18-MNIST-predictive_entropy-bottom-0.9-1 , Train Loss: 0.0151, Train Accuracy: 98.47, Validation Loss: 6.1688, Validation Accuracy: 27.82%
MODEL:resnet18-MNIST-predictive_entropy-bottom-0.95-1 , Train Loss: 0.0177, Train Accuracy: 97.59, Validation Loss: 11.6610, Validation Accuracy: 9.81%
MODEL:resnet18-MNIST-predictive_entropy-median-0.3-1 , Train Loss: 0.0032, Train Accuracy: 96.85, Validation Loss: 0.1209, Validation Accuracy: 96.41%
MODEL:resnet18-MNIST-predictive_entropy-median-0.5-1 , Train Loss: 0.0065, Train Accuracy: 96.55, Validation Loss: 0.2796, Validation Accuracy: 92.57%
MODEL:resnet18-MNIST-predictive_entropy-median-0.7-1 , Train Loss: 0.0203, Train Accuracy: 95.98, Validation Loss: 0.4133, Validation Accuracy: 89.39%
MODEL:resnet18-MNIST-predictive_entropy-median-0.8-1 , Train Loss: 0.0305, Train Accuracy: 95.04, Validation Loss: 0.3224, Validation Accuracy: 91.49%
MODEL:resnet18-MNIST-predictive_entropy-median-0.9-1 , Train Loss: 0.1767, Train Accuracy: 92.98, Validation Loss: 0.4604, Validation Accuracy: 88.77%
MODEL:resnet18-MNIST-predictive_entropy-median-0.95-1 , Train Loss: 0.2406, Train Accuracy: 89.23, Validation Loss: 0.7323, Validation Accuracy: 79.14%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score1-0.3-1 , Train Loss: 0.0070, Train Accuracy: 94.92, Validation Loss: 0.1032, Validation Accuracy: 97.04%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score1-0.5-1 , Train Loss: 0.0151, Train Accuracy: 94.22, Validation Loss: 0.1120, Validation Accuracy: 96.39%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score1-0.7-1 , Train Loss: 0.0352, Train Accuracy: 92.70, Validation Loss: 0.0977, Validation Accuracy: 96.96%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score1-0.8-1 , Train Loss: 0.0800, Train Accuracy: 91.21, Validation Loss: 0.3223, Validation Accuracy: 89.85%
