MODEL:resnet18_MNIST_E1_1 , Train Loss: 0.0383, Train Accuracy: 98.50, Validation Loss: 0.9558, Validation Accuracy: 98.64%
MODEL:resnet18-MNIST-random-0.3-1 , Train Loss: 0.0016, Train Accuracy: 99.54, Validation Loss: 0.0385, Validation Accuracy: 98.83%
MODEL:resnet18-MNIST-random-0.5-1 , Train Loss: 0.0040, Train Accuracy: 99.38, Validation Loss: 0.0733, Validation Accuracy: 98.10%
MODEL:resnet18-MNIST-random-0.7-1 , Train Loss: 0.0060, Train Accuracy: 99.22, Validation Loss: 0.0805, Validation Accuracy: 97.66%
MODEL:resnet18-MNIST-random-0.8-1 , Train Loss: 0.0185, Train Accuracy: 99.10, Validation Loss: 0.0693, Validation Accuracy: 98.06%
MODEL:resnet18-MNIST-random-0.9-1 , Train Loss: 0.0215, Train Accuracy: 99.36, Validation Loss: 0.1095, Validation Accuracy: 97.08%
MODEL:resnet18-MNIST-random-0.95-1 , Train Loss: 0.0256, Train Accuracy: 99.25, Validation Loss: 0.1272, Validation Accuracy: 96.74%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score-0.3-1 , Train Loss: 0.0015, Train Accuracy: 99.51, Validation Loss: 0.0344, Validation Accuracy: 99.11%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score-0.5-1 , Train Loss: 0.0028, Train Accuracy: 99.43, Validation Loss: 0.0489, Validation Accuracy: 98.73%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score-0.7-1 , Train Loss: 0.0080, Train Accuracy: 99.37, Validation Loss: 0.0526, Validation Accuracy: 98.66%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score-0.8-1 , Train Loss: 0.0114, Train Accuracy: 99.29, Validation Loss: 0.0618, Validation Accuracy: 98.24%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score-0.9-1 , Train Loss: 0.0109, Train Accuracy: 99.61, Validation Loss: 0.0601, Validation Accuracy: 98.16%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score-0.95-1 , Train Loss: 0.0136, Train Accuracy: 99.63, Validation Loss: 0.1394, Validation Accuracy: 96.22%
MODEL:resnet18-MNIST-EVIDENCE-median-0.3-1 , Train Loss: 0.0018, Train Accuracy: 99.57, Validation Loss: 0.0575, Validation Accuracy: 98.32%
MODEL:resnet18-MNIST-EVIDENCE-median-0.5-1 , Train Loss: 0.0021, Train Accuracy: 99.58, Validation Loss: 0.1280, Validation Accuracy: 95.98%
MODEL:resnet18-MNIST-EVIDENCE-median-0.7-1 , Train Loss: 0.0044, Train Accuracy: 99.49, Validation Loss: 0.2611, Validation Accuracy: 92.43%
MODEL:resnet18-MNIST-EVIDENCE-median-0.8-1 , Train Loss: 0.0118, Train Accuracy: 99.53, Validation Loss: 0.8047, Validation Accuracy: 80.54%
MODEL:resnet18-MNIST-EVIDENCE-median-0.9-1 , Train Loss: 0.0173, Train Accuracy: 99.53, Validation Loss: 1.4971, Validation Accuracy: 66.28%
MODEL:resnet18-MNIST-EVIDENCE-median-0.95-1 , Train Loss: 0.0014, Train Accuracy: 99.97, Validation Loss: 0.9107, Validation Accuracy: 75.58%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score1-0.3-1 , Train Loss: 0.0014, Train Accuracy: 99.49, Validation Loss: 0.0513, Validation Accuracy: 98.68%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score1-0.5-1 , Train Loss: 0.0032, Train Accuracy: 99.49, Validation Loss: 0.0419, Validation Accuracy: 98.86%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score1-0.7-1 , Train Loss: 0.0069, Train Accuracy: 99.42, Validation Loss: 0.0429, Validation Accuracy: 98.83%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score1-0.8-1 , Train Loss: 0.0084, Train Accuracy: 99.27, Validation Loss: 0.0985, Validation Accuracy: 97.46%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score1-0.9-1 , Train Loss: 0.0222, Train Accuracy: 99.29, Validation Loss: 0.0718, Validation Accuracy: 97.91%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score1-0.95-1 , Train Loss: 0.0221, Train Accuracy: 99.22, Validation Loss: 0.1995, Validation Accuracy: 95.12%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score-0.3-1 , Train Loss: 0.0020, Train Accuracy: 99.58, Validation Loss: 0.0443, Validation Accuracy: 98.95%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score-0.5-1 , Train Loss: 0.0021, Train Accuracy: 99.52, Validation Loss: 0.0546, Validation Accuracy: 98.50%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score-0.7-1 , Train Loss: 0.0056, Train Accuracy: 99.41, Validation Loss: 0.0561, Validation Accuracy: 98.54%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score-0.8-1 , Train Loss: 0.0055, Train Accuracy: 99.34, Validation Loss: 0.0781, Validation Accuracy: 97.99%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score-0.9-1 , Train Loss: 0.0152, Train Accuracy: 99.47, Validation Loss: 0.0757, Validation Accuracy: 97.75%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score-0.95-1 , Train Loss: 0.0247, Train Accuracy: 99.29, Validation Loss: 0.2208, Validation Accuracy: 94.75%
MODEL:resnet18-MNIST-BELIEF-median-0.3-1 , Train Loss: 0.0011, Train Accuracy: 99.70, Validation Loss: 0.4871, Validation Accuracy: 89.13%
MODEL:resnet18-MNIST-BELIEF-median-0.5-1 , Train Loss: 0.0020, Train Accuracy: 99.63, Validation Loss: 0.4431, Validation Accuracy: 88.81%
MODEL:resnet18-MNIST-BELIEF-median-0.7-1 , Train Loss: 0.0041, Train Accuracy: 99.51, Validation Loss: 1.0426, Validation Accuracy: 75.98%
MODEL:resnet18-MNIST-BELIEF-median-0.8-1 , Train Loss: 0.0073, Train Accuracy: 99.47, Validation Loss: 1.3316, Validation Accuracy: 75.74%
MODEL:resnet18-MNIST-BELIEF-median-0.9-1 , Train Loss: 0.0119, Train Accuracy: 99.60, Validation Loss: 2.6301, Validation Accuracy: 59.52%
MODEL:resnet18-MNIST-BELIEF-median-0.95-1 , Train Loss: 0.0004, Train Accuracy: 100.00, Validation Loss: 3.7998, Validation Accuracy: 50.20%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score1-0.3-1 , Train Loss: 0.0013, Train Accuracy: 99.55, Validation Loss: 0.0417, Validation Accuracy: 98.83%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score1-0.5-1 , Train Loss: 0.0024, Train Accuracy: 99.49, Validation Loss: 0.0649, Validation Accuracy: 98.11%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score1-0.7-1 , Train Loss: 0.0097, Train Accuracy: 99.13, Validation Loss: 0.1009, Validation Accuracy: 97.38%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score1-0.8-1 , Train Loss: 0.0121, Train Accuracy: 99.40, Validation Loss: 0.0540, Validation Accuracy: 98.45%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score1-0.9-1 , Train Loss: 0.0201, Train Accuracy: 99.44, Validation Loss: 0.0993, Validation Accuracy: 97.43%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score1-0.95-1 , Train Loss: 0.0142, Train Accuracy: 99.56, Validation Loss: 0.1710, Validation Accuracy: 95.71%
MODEL:resnet18_MNIST_E1_2 , Train Loss: 0.0383, Train Accuracy: 98.58, Validation Loss: 0.9560, Validation Accuracy: 98.29%
MODEL:resnet18-MNIST-random-0.3-2 , Train Loss: 0.0015, Train Accuracy: 99.53, Validation Loss: 0.0346, Validation Accuracy: 99.06%
MODEL:resnet18-MNIST-random-0.5-2 , Train Loss: 0.0017, Train Accuracy: 99.52, Validation Loss: 0.0616, Validation Accuracy: 98.23%
MODEL:resnet18-MNIST-random-0.7-2 , Train Loss: 0.0054, Train Accuracy: 99.42, Validation Loss: 0.0462, Validation Accuracy: 98.62%
MODEL:resnet18-MNIST-random-0.8-2 , Train Loss: 0.0058, Train Accuracy: 99.54, Validation Loss: 0.0697, Validation Accuracy: 98.26%
MODEL:resnet18-MNIST-random-0.9-2 , Train Loss: 0.0227, Train Accuracy: 99.34, Validation Loss: 0.1305, Validation Accuracy: 96.39%
MODEL:resnet18-MNIST-random-0.95-2 , Train Loss: 0.0294, Train Accuracy: 99.08, Validation Loss: 0.2288, Validation Accuracy: 94.64%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score-0.3-2 , Train Loss: 0.0023, Train Accuracy: 99.55, Validation Loss: 0.0479, Validation Accuracy: 98.61%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score-0.5-2 , Train Loss: 0.0024, Train Accuracy: 99.45, Validation Loss: 0.0344, Validation Accuracy: 99.02%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score-0.7-2 , Train Loss: 0.0095, Train Accuracy: 99.09, Validation Loss: 0.0841, Validation Accuracy: 97.86%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score-0.8-2 , Train Loss: 0.0151, Train Accuracy: 99.05, Validation Loss: 0.0816, Validation Accuracy: 97.66%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score-0.9-2 , Train Loss: 0.0127, Train Accuracy: 99.66, Validation Loss: 0.0799, Validation Accuracy: 97.84%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score-0.95-2 , Train Loss: 0.0170, Train Accuracy: 99.42, Validation Loss: 0.1040, Validation Accuracy: 97.09%
MODEL:resnet18-MNIST-EVIDENCE-median-0.3-2 , Train Loss: 0.0008, Train Accuracy: 99.70, Validation Loss: 0.0609, Validation Accuracy: 98.45%
MODEL:resnet18-MNIST-EVIDENCE-median-0.5-2 , Train Loss: 0.0026, Train Accuracy: 99.58, Validation Loss: 0.1416, Validation Accuracy: 95.96%
MODEL:resnet18-MNIST-EVIDENCE-median-0.7-2 , Train Loss: 0.0021, Train Accuracy: 99.64, Validation Loss: 0.2609, Validation Accuracy: 91.68%
MODEL:resnet18-MNIST-EVIDENCE-median-0.8-2 , Train Loss: 0.0099, Train Accuracy: 99.52, Validation Loss: 0.6368, Validation Accuracy: 81.24%
MODEL:resnet18-MNIST-EVIDENCE-median-0.9-2 , Train Loss: 0.0130, Train Accuracy: 99.61, Validation Loss: 1.0213, Validation Accuracy: 80.87%
MODEL:resnet18-MNIST-EVIDENCE-median-0.95-2 , Train Loss: 0.0216, Train Accuracy: 99.39, Validation Loss: 3.0319, Validation Accuracy: 59.18%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score1-0.3-2 , Train Loss: 0.0013, Train Accuracy: 99.49, Validation Loss: 0.0403, Validation Accuracy: 98.83%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score1-0.5-2 , Train Loss: 0.0030, Train Accuracy: 99.52, Validation Loss: 0.0471, Validation Accuracy: 98.74%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score1-0.7-2 , Train Loss: 0.0059, Train Accuracy: 99.43, Validation Loss: 0.0491, Validation Accuracy: 98.66%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score1-0.8-2 , Train Loss: 0.0084, Train Accuracy: 99.56, Validation Loss: 0.0635, Validation Accuracy: 98.30%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score1-0.9-2 , Train Loss: 0.0130, Train Accuracy: 99.61, Validation Loss: 0.0964, Validation Accuracy: 97.29%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score1-0.95-2 , Train Loss: 0.0217, Train Accuracy: 99.22, Validation Loss: 0.1173, Validation Accuracy: 96.67%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score-0.3-2 , Train Loss: 0.0021, Train Accuracy: 99.46, Validation Loss: 0.0337, Validation Accuracy: 99.06%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score-0.5-2 , Train Loss: 0.0025, Train Accuracy: 99.43, Validation Loss: 0.0479, Validation Accuracy: 98.66%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score-0.7-2 , Train Loss: 0.0074, Train Accuracy: 99.14, Validation Loss: 0.0432, Validation Accuracy: 98.71%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score-0.8-2 , Train Loss: 0.0131, Train Accuracy: 99.04, Validation Loss: 0.0669, Validation Accuracy: 98.02%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score-0.9-2 , Train Loss: 0.0168, Train Accuracy: 99.61, Validation Loss: 0.0972, Validation Accuracy: 97.37%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score-0.95-2 , Train Loss: 0.0372, Train Accuracy: 99.01, Validation Loss: 0.6125, Validation Accuracy: 85.89%
MODEL:resnet18-MNIST-BELIEF-median-0.3-2 , Train Loss: 0.0008, Train Accuracy: 99.72, Validation Loss: 0.4322, Validation Accuracy: 88.20%
MODEL:resnet18-MNIST-BELIEF-median-0.5-2 , Train Loss: 0.0018, Train Accuracy: 99.69, Validation Loss: 1.3777, Validation Accuracy: 77.85%
MODEL:resnet18-MNIST-BELIEF-median-0.7-2 , Train Loss: 0.0067, Train Accuracy: 99.53, Validation Loss: 0.9968, Validation Accuracy: 77.30%
MODEL:resnet18-MNIST-BELIEF-median-0.8-2 , Train Loss: 0.0051, Train Accuracy: 99.62, Validation Loss: 1.6094, Validation Accuracy: 76.40%
MODEL:resnet18-MNIST-BELIEF-median-0.9-2 , Train Loss: 0.0058, Train Accuracy: 99.83, Validation Loss: 1.9650, Validation Accuracy: 72.54%
MODEL:resnet18-MNIST-BELIEF-median-0.95-2 , Train Loss: 0.0164, Train Accuracy: 99.49, Validation Loss: 3.5851, Validation Accuracy: 53.48%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score1-0.3-2 , Train Loss: 0.0013, Train Accuracy: 99.54, Validation Loss: 0.0418, Validation Accuracy: 98.87%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score1-0.5-2 , Train Loss: 0.0040, Train Accuracy: 99.45, Validation Loss: 0.0548, Validation Accuracy: 98.51%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score1-0.7-2 , Train Loss: 0.0062, Train Accuracy: 99.34, Validation Loss: 0.0876, Validation Accuracy: 97.54%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score1-0.8-2 , Train Loss: 0.0146, Train Accuracy: 99.30, Validation Loss: 0.1002, Validation Accuracy: 97.28%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score1-0.9-2 , Train Loss: 0.0161, Train Accuracy: 99.49, Validation Loss: 0.0795, Validation Accuracy: 97.96%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score1-0.95-2 , Train Loss: 0.0143, Train Accuracy: 99.69, Validation Loss: 0.1064, Validation Accuracy: 96.91%
MODEL:resnet18_MNIST_E1_3 , Train Loss: 0.0383, Train Accuracy: 98.52, Validation Loss: 0.9560, Validation Accuracy: 98.65%
MODEL:resnet18-MNIST-random-0.3-3 , Train Loss: 0.0012, Train Accuracy: 99.55, Validation Loss: 0.0467, Validation Accuracy: 98.62%
MODEL:resnet18-MNIST-random-0.5-3 , Train Loss: 0.0035, Train Accuracy: 99.42, Validation Loss: 0.0470, Validation Accuracy: 98.55%
MODEL:resnet18-MNIST-random-0.7-3 , Train Loss: 0.0080, Train Accuracy: 99.32, Validation Loss: 0.0574, Validation Accuracy: 98.25%
MODEL:resnet18-MNIST-random-0.8-3 , Train Loss: 0.0067, Train Accuracy: 99.52, Validation Loss: 0.0666, Validation Accuracy: 98.16%
MODEL:resnet18-MNIST-random-0.9-3 , Train Loss: 0.0340, Train Accuracy: 98.82, Validation Loss: 0.0734, Validation Accuracy: 98.06%
MODEL:resnet18-MNIST-random-0.95-3 , Train Loss: 0.0321, Train Accuracy: 99.08, Validation Loss: 0.2748, Validation Accuracy: 92.65%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score-0.3-3 , Train Loss: 0.0023, Train Accuracy: 99.54, Validation Loss: 0.0309, Validation Accuracy: 99.13%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score-0.5-3 , Train Loss: 0.0017, Train Accuracy: 99.34, Validation Loss: 0.0786, Validation Accuracy: 98.00%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score-0.7-3 , Train Loss: 0.0059, Train Accuracy: 99.38, Validation Loss: 0.0602, Validation Accuracy: 98.44%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score-0.8-3 , Train Loss: 0.0153, Train Accuracy: 99.10, Validation Loss: 0.0713, Validation Accuracy: 98.03%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score-0.9-3 , Train Loss: 0.0222, Train Accuracy: 99.42, Validation Loss: 0.1169, Validation Accuracy: 96.91%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score-0.95-3 , Train Loss: 0.0022, Train Accuracy: 99.90, Validation Loss: 0.0794, Validation Accuracy: 97.79%
MODEL:resnet18-MNIST-EVIDENCE-median-0.3-3 , Train Loss: 0.0004, Train Accuracy: 99.72, Validation Loss: 0.0441, Validation Accuracy: 98.82%
MODEL:resnet18-MNIST-EVIDENCE-median-0.5-3 , Train Loss: 0.0029, Train Accuracy: 99.62, Validation Loss: 0.0855, Validation Accuracy: 97.55%
MODEL:resnet18-MNIST-EVIDENCE-median-0.7-3 , Train Loss: 0.0034, Train Accuracy: 99.59, Validation Loss: 0.1478, Validation Accuracy: 95.54%
MODEL:resnet18-MNIST-EVIDENCE-median-0.8-3 , Train Loss: 0.0061, Train Accuracy: 99.67, Validation Loss: 0.5126, Validation Accuracy: 86.65%
MODEL:resnet18-MNIST-EVIDENCE-median-0.9-3 , Train Loss: 0.0119, Train Accuracy: 99.66, Validation Loss: 0.5384, Validation Accuracy: 86.87%
MODEL:resnet18-MNIST-EVIDENCE-median-0.95-3 , Train Loss: 0.0148, Train Accuracy: 99.52, Validation Loss: 0.8604, Validation Accuracy: 79.54%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score1-0.3-3 , Train Loss: 0.0013, Train Accuracy: 99.51, Validation Loss: 0.0357, Validation Accuracy: 98.99%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score1-0.5-3 , Train Loss: 0.0019, Train Accuracy: 99.48, Validation Loss: 0.0447, Validation Accuracy: 98.72%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score1-0.7-3 , Train Loss: 0.0080, Train Accuracy: 99.31, Validation Loss: 0.0591, Validation Accuracy: 98.34%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score1-0.8-3 , Train Loss: 0.0120, Train Accuracy: 99.22, Validation Loss: 0.0776, Validation Accuracy: 97.70%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score1-0.9-3 , Train Loss: 0.0277, Train Accuracy: 99.32, Validation Loss: 0.0822, Validation Accuracy: 97.65%
MODEL:resnet18-MNIST-EVIDENCE-balanced_by_score1-0.95-3 , Train Loss: 0.0106, Train Accuracy: 99.69, Validation Loss: 0.2478, Validation Accuracy: 94.42%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score-0.3-3 , Train Loss: 0.0020, Train Accuracy: 99.46, Validation Loss: 0.0371, Validation Accuracy: 98.93%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score-0.5-3 , Train Loss: 0.0033, Train Accuracy: 99.51, Validation Loss: 0.0614, Validation Accuracy: 98.50%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score-0.7-3 , Train Loss: 0.0058, Train Accuracy: 99.36, Validation Loss: 0.0702, Validation Accuracy: 98.07%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score-0.8-3 , Train Loss: 0.0084, Train Accuracy: 99.43, Validation Loss: 0.0687, Validation Accuracy: 97.96%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score-0.9-3 , Train Loss: 0.0159, Train Accuracy: 99.39, Validation Loss: 0.2455, Validation Accuracy: 93.67%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score-0.95-3 , Train Loss: 0.0548, Train Accuracy: 97.96, Validation Loss: 0.3263, Validation Accuracy: 91.16%
MODEL:resnet18-MNIST-BELIEF-median-0.3-3 , Train Loss: 0.0015, Train Accuracy: 99.67, Validation Loss: 0.0752, Validation Accuracy: 98.02%
MODEL:resnet18-MNIST-BELIEF-median-0.5-3 , Train Loss: 0.0025, Train Accuracy: 99.63, Validation Loss: 0.1803, Validation Accuracy: 94.23%
MODEL:resnet18-MNIST-BELIEF-median-0.7-3 , Train Loss: 0.0029, Train Accuracy: 99.65, Validation Loss: 0.3415, Validation Accuracy: 89.97%
MODEL:resnet18-MNIST-BELIEF-median-0.8-3 , Train Loss: 0.0054, Train Accuracy: 99.70, Validation Loss: 1.4007, Validation Accuracy: 71.09%
MODEL:resnet18-MNIST-BELIEF-median-0.9-3 , Train Loss: 0.0110, Train Accuracy: 99.61, Validation Loss: 1.4270, Validation Accuracy: 71.85%
MODEL:resnet18-MNIST-BELIEF-median-0.95-3 , Train Loss: 0.0045, Train Accuracy: 99.90, Validation Loss: 1.9724, Validation Accuracy: 68.74%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score1-0.3-3 , Train Loss: 0.0014, Train Accuracy: 99.45, Validation Loss: 0.0417, Validation Accuracy: 98.74%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score1-0.5-3 , Train Loss: 0.0025, Train Accuracy: 99.40, Validation Loss: 0.0499, Validation Accuracy: 98.75%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score1-0.7-3 , Train Loss: 0.0065, Train Accuracy: 99.52, Validation Loss: 0.0573, Validation Accuracy: 98.41%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score1-0.8-3 , Train Loss: 0.0139, Train Accuracy: 99.13, Validation Loss: 0.0940, Validation Accuracy: 97.52%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score1-0.9-3 , Train Loss: 0.0134, Train Accuracy: 99.58, Validation Loss: 0.0672, Validation Accuracy: 98.15%
MODEL:resnet18-MNIST-BELIEF-balanced_by_score1-0.95-3 , Train Loss: 0.0410, Train Accuracy: 98.68, Validation Loss: 0.2016, Validation Accuracy: 94.63%
