MODEL:resnet18_CIFAR10_1 , Train Loss: 0.0147, Train Accuracy: 95.95, Validation Loss: 1.0535, Validation Accuracy: 75.30%
MODEL:resnet18-CIFAR10-random-0.3-1 , Train Loss: 0.0112, Train Accuracy: 95.99, Validation Loss: 1.1817, Validation Accuracy: 73.37%
MODEL:resnet18-CIFAR10-random-0.5-1 , Train Loss: 0.0306, Train Accuracy: 96.04, Validation Loss: 1.3956, Validation Accuracy: 68.43%
MODEL:resnet18-CIFAR10-random-0.7-1 , Train Loss: 0.0182, Train Accuracy: 96.39, Validation Loss: 1.8246, Validation Accuracy: 61.54%
MODEL:resnet18-CIFAR10-random-0.8-1 , Train Loss: 0.0617, Train Accuracy: 95.60, Validation Loss: 1.8818, Validation Accuracy: 59.36%
MODEL:resnet18-CIFAR10-random-0.9-1 , Train Loss: 0.1149, Train Accuracy: 96.05, Validation Loss: 2.6661, Validation Accuracy: 49.35%
MODEL:resnet18-CIFAR10-random-0.95-1 , Train Loss: 0.1065, Train Accuracy: 96.11, Validation Loss: 2.7146, Validation Accuracy: 45.67%
MODEL:resnet18-CIFAR10-predictive_entropy-top-0.3-1 , Train Loss: 0.0126, Train Accuracy: 95.14, Validation Loss: 1.1916, Validation Accuracy: 71.76%
MODEL:resnet18-CIFAR10-predictive_entropy-top-0.5-1 , Train Loss: 0.0414, Train Accuracy: 95.04, Validation Loss: 1.6908, Validation Accuracy: 62.75%
MODEL:resnet18-CIFAR10-predictive_entropy-top-0.7-1 , Train Loss: 0.0233, Train Accuracy: 95.03, Validation Loss: 2.4159, Validation Accuracy: 52.99%
MODEL:resnet18-CIFAR10-predictive_entropy-top-0.8-1 , Train Loss: 0.0677, Train Accuracy: 94.37, Validation Loss: 3.1338, Validation Accuracy: 43.25%
MODEL:resnet18-CIFAR10-predictive_entropy-top-0.9-1 , Train Loss: 0.1139, Train Accuracy: 95.91, Validation Loss: 3.6366, Validation Accuracy: 36.05%
MODEL:resnet18-CIFAR10-predictive_entropy-top-0.95-1 , Train Loss: 0.1442, Train Accuracy: 94.95, Validation Loss: 4.7145, Validation Accuracy: 28.17%
MODEL:resnet18-CIFAR10-predictive_entropy-bottom-0.3-1 , Train Loss: 0.0066, Train Accuracy: 97.08, Validation Loss: 1.2324, Validation Accuracy: 72.46%
MODEL:resnet18-CIFAR10-predictive_entropy-bottom-0.5-1 , Train Loss: 0.0173, Train Accuracy: 97.51, Validation Loss: 1.4587, Validation Accuracy: 67.83%
MODEL:resnet18-CIFAR10-predictive_entropy-bottom-0.7-1 , Train Loss: 0.0095, Train Accuracy: 98.18, Validation Loss: 2.5940, Validation Accuracy: 54.98%
MODEL:resnet18-CIFAR10-predictive_entropy-bottom-0.8-1 , Train Loss: 0.0245, Train Accuracy: 97.84, Validation Loss: 2.8699, Validation Accuracy: 51.99%
MODEL:resnet18-CIFAR10-predictive_entropy-bottom-0.9-1 , Train Loss: 0.0251, Train Accuracy: 99.14, Validation Loss: 2.7211, Validation Accuracy: 52.35%
MODEL:resnet18-CIFAR10-predictive_entropy-bottom-0.95-1 , Train Loss: 0.0141, Train Accuracy: 99.56, Validation Loss: 3.0146, Validation Accuracy: 46.89%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_label-0.3-1 , Train Loss: 0.0101, Train Accuracy: 96.32, Validation Loss: 1.4080, Validation Accuracy: 69.10%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_label-0.5-1 , Train Loss: 0.0382, Train Accuracy: 96.11, Validation Loss: 1.3938, Validation Accuracy: 67.88%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_label-0.7-1 , Train Loss: 0.0235, Train Accuracy: 95.63, Validation Loss: 1.5916, Validation Accuracy: 63.60%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_label-0.8-1 , Train Loss: 0.0457, Train Accuracy: 96.05, Validation Loss: 2.2371, Validation Accuracy: 55.40%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_label-0.9-1 , Train Loss: 0.1197, Train Accuracy: 95.95, Validation Loss: 2.7655, Validation Accuracy: 46.68%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_label-0.95-1 , Train Loss: 0.1089, Train Accuracy: 96.11, Validation Loss: 2.9040, Validation Accuracy: 42.12%
MODEL:resnet18-CIFAR10-predictive_entropy-median-0.3-1 , Train Loss: 0.0120, Train Accuracy: 96.04, Validation Loss: 1.1613, Validation Accuracy: 72.27%
MODEL:resnet18-CIFAR10-predictive_entropy-median-0.5-1 , Train Loss: 0.0273, Train Accuracy: 96.37, Validation Loss: 1.3164, Validation Accuracy: 70.78%
MODEL:resnet18-CIFAR10-predictive_entropy-median-0.7-1 , Train Loss: 0.0198, Train Accuracy: 95.99, Validation Loss: 1.7833, Validation Accuracy: 64.12%
MODEL:resnet18-CIFAR10-predictive_entropy-median-0.8-1 , Train Loss: 0.0445, Train Accuracy: 95.88, Validation Loss: 2.0554, Validation Accuracy: 59.20%
MODEL:resnet18-CIFAR10-predictive_entropy-median-0.9-1 , Train Loss: 0.1011, Train Accuracy: 96.69, Validation Loss: 2.5128, Validation Accuracy: 50.92%
MODEL:resnet18-CIFAR10-predictive_entropy-median-0.95-1 , Train Loss: 0.0863, Train Accuracy: 97.16, Validation Loss: 2.9243, Validation Accuracy: 45.67%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score1-0.3-1 , Train Loss: 0.0113, Train Accuracy: 95.82, Validation Loss: 1.1661, Validation Accuracy: 72.20%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score1-0.5-1 , Train Loss: 0.0345, Train Accuracy: 95.45, Validation Loss: 1.3388, Validation Accuracy: 67.89%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score1-0.7-1 , Train Loss: 0.0173, Train Accuracy: 95.59, Validation Loss: 1.7091, Validation Accuracy: 63.05%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score1-0.8-1 , Train Loss: 0.0504, Train Accuracy: 95.48, Validation Loss: 1.8362, Validation Accuracy: 59.27%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score1-0.9-1 , Train Loss: 0.0937, Train Accuracy: 96.75, Validation Loss: 2.6276, Validation Accuracy: 48.01%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score1-0.95-1 , Train Loss: 0.1084, Train Accuracy: 95.75, Validation Loss: 3.1047, Validation Accuracy: 42.51%

MODEL:resnet18_CIFAR10_2 , Train Loss: 0.0155, Train Accuracy: 95.76, Validation Loss: 1.0761, Validation Accuracy: 75.18%
MODEL:resnet18-CIFAR10-random-0.3-2 , Train Loss: 0.0118, Train Accuracy: 96.07, Validation Loss: 1.1899, Validation Accuracy: 72.06%
