MODEL:resnet18_CIFAR10_E1_1 , Train Loss: 0.1010, Train Accuracy: 75.74, Validation Loss: 0.9666, Validation Accuracy: 70.63%
MODEL:resnet18-CIFAR10-random-0.3-1 , Train Loss: 0.0148, Train Accuracy: 95.90, Validation Loss: 1.1577, Validation Accuracy: 72.19%
MODEL:resnet18-CIFAR10-random-0.5-1 , Train Loss: 0.0330, Train Accuracy: 95.99, Validation Loss: 1.3449, Validation Accuracy: 69.88%
MODEL:resnet18-CIFAR10-random-0.7-1 , Train Loss: 0.0135, Train Accuracy: 96.85, Validation Loss: 1.6726, Validation Accuracy: 65.26%
MODEL:resnet18-CIFAR10-random-0.8-1 , Train Loss: 0.0470, Train Accuracy: 95.78, Validation Loss: 1.8995, Validation Accuracy: 59.15%
MODEL:resnet18-CIFAR10-random-0.9-1 , Train Loss: 0.1190, Train Accuracy: 95.67, Validation Loss: 2.4160, Validation Accuracy: 50.49%
MODEL:resnet18-CIFAR10-random-0.95-1 , Train Loss: 0.0753, Train Accuracy: 97.24, Validation Loss: 2.9700, Validation Accuracy: 44.53%
MODEL:resnet18-CIFAR10-EVIDENCE-top-0.3-1 , Train Loss: 0.0143, Train Accuracy: 95.36, Validation Loss: 1.1234, Validation Accuracy: 72.50%
MODEL:resnet18-CIFAR10-EVIDENCE-top-0.5-1 , Train Loss: 0.0380, Train Accuracy: 94.99, Validation Loss: 1.5838, Validation Accuracy: 64.41%
MODEL:resnet18-CIFAR10-EVIDENCE-top-0.7-1 , Train Loss: 0.0252, Train Accuracy: 95.68, Validation Loss: 2.5133, Validation Accuracy: 50.14%
MODEL:resnet18-CIFAR10-EVIDENCE-top-0.8-1 , Train Loss: 0.0452, Train Accuracy: 95.96, Validation Loss: 3.1708, Validation Accuracy: 39.13%
MODEL:resnet18-CIFAR10-EVIDENCE-top-0.9-1 , Train Loss: 0.1276, Train Accuracy: 95.49, Validation Loss: 4.4056, Validation Accuracy: 24.77%
MODEL:resnet18-CIFAR10-EVIDENCE-top-0.95-1 , Train Loss: 0.0912, Train Accuracy: 96.67, Validation Loss: 5.2331, Validation Accuracy: 18.44%
MODEL:resnet18-CIFAR10-EVIDENCE-bottom-0.3-1 , Train Loss: 0.0120, Train Accuracy: 96.51, Validation Loss: 1.4185, Validation Accuracy: 68.69%
MODEL:resnet18-CIFAR10-EVIDENCE-bottom-0.5-1 , Train Loss: 0.0215, Train Accuracy: 96.86, Validation Loss: 1.6968, Validation Accuracy: 63.08%
MODEL:resnet18-CIFAR10-EVIDENCE-bottom-0.7-1 , Train Loss: 0.0144, Train Accuracy: 97.02, Validation Loss: 2.5882, Validation Accuracy: 57.41%
MODEL:resnet18-CIFAR10-EVIDENCE-bottom-0.8-1 , Train Loss: 0.0301, Train Accuracy: 97.06, Validation Loss: 2.6964, Validation Accuracy: 52.94%
MODEL:resnet18-CIFAR10-EVIDENCE-bottom-0.9-1 , Train Loss: 0.0551, Train Accuracy: 98.10, Validation Loss: 3.3513, Validation Accuracy: 45.49%
MODEL:resnet18-CIFAR10-EVIDENCE-bottom-0.95-1 , Train Loss: 0.0933, Train Accuracy: 96.83, Validation Loss: 4.4762, Validation Accuracy: 34.44%
MODEL:resnet18-CIFAR10-EVIDENCE-balanced_by_label-0.3-1 , Train Loss: 0.0107, Train Accuracy: 96.01, Validation Loss: 1.2565, Validation Accuracy: 70.52%
MODEL:resnet18-CIFAR10-EVIDENCE-balanced_by_label-0.5-1 , Train Loss: 0.0333, Train Accuracy: 96.03, Validation Loss: 1.6119, Validation Accuracy: 64.98%
MODEL:resnet18-CIFAR10-EVIDENCE-balanced_by_label-0.7-1 , Train Loss: 0.0166, Train Accuracy: 96.01, Validation Loss: 1.7873, Validation Accuracy: 63.89%
MODEL:resnet18-CIFAR10-EVIDENCE-balanced_by_label-0.8-1 , Train Loss: 0.0500, Train Accuracy: 96.17, Validation Loss: 2.0820, Validation Accuracy: 57.31%
MODEL:resnet18-CIFAR10-EVIDENCE-balanced_by_label-0.9-1 , Train Loss: 0.1272, Train Accuracy: 95.77, Validation Loss: 2.4597, Validation Accuracy: 50.88%
MODEL:resnet18-CIFAR10-EVIDENCE-balanced_by_label-0.95-1 , Train Loss: 0.1105, Train Accuracy: 96.07, Validation Loss: 2.9848, Validation Accuracy: 44.13%
MODEL:resnet18-CIFAR10-EVIDENCE-median-0.3-1 , Train Loss: 0.0114, Train Accuracy: 96.10, Validation Loss: 1.4056, Validation Accuracy: 68.09%
MODEL:resnet18-CIFAR10-EVIDENCE-median-0.5-1 , Train Loss: 0.0311, Train Accuracy: 96.36, Validation Loss: 1.5771, Validation Accuracy: 65.26%
MODEL:resnet18-CIFAR10-EVIDENCE-median-0.7-1 , Train Loss: 0.0181, Train Accuracy: 96.61, Validation Loss: 2.4064, Validation Accuracy: 55.84%
MODEL:resnet18-CIFAR10-EVIDENCE-median-0.8-1 , Train Loss: 0.0388, Train Accuracy: 96.65, Validation Loss: 2.1257, Validation Accuracy: 57.54%
MODEL:resnet18-CIFAR10-EVIDENCE-median-0.9-1 , Train Loss: 0.0862, Train Accuracy: 96.96, Validation Loss: 2.7496, Validation Accuracy: 48.63%
MODEL:resnet18-CIFAR10-EVIDENCE-median-0.95-1 , Train Loss: 0.1056, Train Accuracy: 95.83, Validation Loss: 3.9416, Validation Accuracy: 38.96%
MODEL:resnet18-CIFAR10-EVIDENCE-balanced_by_score1-0.3-1 , Train Loss: 0.0111, Train Accuracy: 95.57, Validation Loss: 1.2295, Validation Accuracy: 71.71%
MODEL:resnet18-CIFAR10-EVIDENCE-balanced_by_score1-0.5-1 , Train Loss: 0.0334, Train Accuracy: 95.48, Validation Loss: 1.4088, Validation Accuracy: 68.19%
MODEL:resnet18-CIFAR10-EVIDENCE-balanced_by_score1-0.7-1 , Train Loss: 0.0237, Train Accuracy: 95.89, Validation Loss: 1.5162, Validation Accuracy: 65.47%
